codice;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
73033;CEREGLIO;VIA PROVINCIALE FR 27;CEREGLIO;664987;908264;44,30714;11,067491;568
73034;CEREGLIO;VIA PROVINCIALE 27;CEREGLIO;664987;908252;44,307032;11,067487;568
73037;CEREGLIO OFFICINA PERI;VIA PROVINCIALE FR 65;CEREGLIO;664709;908281;44,307356;11,064013;568
73038;CEREGLIO OFFICINA PERI;VIA PROVINCIALE 65;VERGATO;664712;908264;44,307202;11,064046;568
73041;CEREGLIO BIVIO TOLE`;VIA PROVINCIALE BV TOLE`;VERGATO;664269;908260;44,307267;11,058494;568
73042;CEREGLIO BIVIO TOLE`;VIA PROVINCIALE FR BV TOLE`;VERGATO;664259;908253;44,307206;11,058366;568
73101;CEREGLIO VILLINO ADELE;VIA RONZINO 9;VERGATO;665035;908536;44,309576;11,068179;568
73102;CEREGLIO VILLINO ADELE;VIA RONZINO FR 9;VERGATO;665042;908535;44,309566;11,068266;568
73105;ACQUA CERELIA;VIA F.LLI BENASSI 42/1;VERGATO;664442;908858;44,312608;11,06085;568
73106;ACQUA CERELIA;VIA F.LLI BENASSI FR 42/1;VERGATO;664442;908867;44,312689;11,060853;568
73109;LAGAZZOLI;VIA F.LLI BENASSI FR 35;VERGATO;664350;909320;44,316785;11,059842;568
73110;LAGAZZOLI;VIA F.LLI BENASSI 35;VERGATO;664360;909320;44,316783;11,059968;568
73113;PRATICCIOLI;VIA F.LLI BENASSI FR 19;VERGATO;664162;909635;44,319662;11,057585;568
73114;PRATICCIOLI;VIA F.LLI BENASSI 19;VERGATO;664172;909638;44,319687;11,057712;568
73117;TOLE` CROCETTA;VIA PROVINCIALE BV CASONE;VERGATO;663994;909854;44,32167;11,055549;568
73118;TOLE` CROCETTA;VIA PROVINCIALE FR BV CASONE;VERGATO;664002;909858;44,321704;11,05565;568
73121;BORGO DI SOPRA;VIA PROVINCIALE FR PIAN DEL GHERA;TOLE`;664090;910519;44,327632;11,056961;566
73122;BORGO DI SOPRA;VIA PROVINCIALE ANG PIAN DEL GHERA;TOLE`;664099;910492;44,327387;11,057065;566
73201;PIAN DELLE MAZZETTE;VIA PROVINCIALE 1;LAMAZZETTO;663565;908187;44,306769;11,04965;568
73202;PIAN DELLE MAZZETTE;VIA PROVINCIALE FR 1;VERGATO;663565;908178;44,306688;11,049647;568
73205;PIEVE AMORE;VIA PROVINCIALE 30;VERGATO;663019;907933;44,304606;11,042729;568
73206;PIEVE AMORE;VIA PROVINCIALE FR 30;VERGATO;663019;907925;44,304534;11,042727;568
73209;CASA DANTE;VIA ROCCA DI ROFFENO FR 44;VERGATO;662706;907593;44,301617;11,038702;568
73210;CASA DANTE;VIA ROCCA DI ROFFENO 44;VERGATO;662700;907591;44,3016;11,038626;568
73213;AMORE SAN SALVATORE;VIA ROCCA DI ROFFENO FR BV PIEVE DI ROFF;VERGATO;662861;907090;44,297057;11,040487;568
73214;AMORE SAN SALVATORE;VIA ROCCA DI ROFFENO BV PIEVE DI ROFFENO;VERGATO;662868;907091;44,297064;11,040575;568
73217;SERRETTONE;VIA ROCCA DI ROFFENO FR BV CASIGNO;CASTEL D`AIANO;663069;906554;44,292187;11,042926;568
73218;SERRETTONE;VIA ROCCA DI ROFFENO BV CASIGNO;CASTEL D`AIANO;663079;906554;44,292185;11,043051;568
73221;ROCCA DI ROFFENO;VIA MONTE ROCCA 37;ROCCA DI ROFFENO;662196;906686;44,29357;11,032031;568
73222;ROCCA DI ROFFENO;VIA MONTE ROCCA FR 37;ROCCA DI ROFFENO;662195;906674;44,293462;11,032015;568
73225;ACQUA RADIOSA;VIA MONTE ROCCA BV S.LUCIA;CASTEL D`AIANO;661948;907156;44,297854;11,02907;568
73226;ACQUA RADIOSA;VIA MONTE ROCCA FR BV S.LUCIA;CASTEL D`AIANO;661947;907141;44,297719;11,029053;568
73229;BORGATA PARUVIANO;VIA PASSO SELLA FR BV PARUVIANO;CASTEL D`AIANO;661502;906936;44,295974;11,023414;568
73230;BORGATA PARUVIANO;VIA PASSO SELLA BV PARUVIANO;CASTEL D`AIANO;661502;906930;44,29592;11,023412;568
73233;BOCCA RAVARI BIVIO;VIA PASSO SELLA BV ZOCCA;CASTEL D`AIANO;660820;907428;44,300552;11,015022;447
73234;BOCCA RAVARI BIVIO;VIA PASSO SELLA FR BV ZOCCA;CASTEL D`AIANO;660824;907407;44,300362;11,015066;447
73237;SERRA SARZANA;VIA BOCCA RAVARI FR 18;CASTEL D`AIANO;660871;906665;44,293675;11,015426;447
73238;SERRA SARZANA;VIA BOCCA RAVARI 18;CASTEL D`AIANO;660884;906652;44,293556;11,015585;447
73241;OMBRINA;VIA BOCCA RAVARI BV VIA PULANO;CASTEL D`AIANO;660355;906428;44,291657;11,008889;447
73242;OMBRINA;VIA BOCCA RAVARI FR BV VIA PULANO;CASTEL D`AIANO;660359;906422;44,291602;11,008938;447
73245;FAMATICCIA;VIA BOCCA RAVARI FR BV FAMATICCIA;CASTEL D`AIANO;660040;905737;44,285509;11,004732;447
73246;FAMATICCIA;VIA BOCCA RAVARI BV FAMATICCIA;CASTEL D`AIANO;660034;905731;44,285456;11,004655;447
73300;VERGATO-LAMARI;STRADA PROVINCIALE 25 (SP 25) KM 14-030;VERGATO;662452;907448;44,300369;11,035475;568
73302;ROCCA DI ROFFENO BIVIO VA;VIA PASSO SELLA DELLA CROCE BV VIA VALLE;ROCCA DI ROFFENO;662195;907031;44,296674;11,032125;568
73401;LABANTE BIVIO;VIA LABANTE FR FORNACI;VERGATO;667519;905694;44,283439;11,098392;569
73402;LABANTE BIVIO;VIA LABANTE ANG. FORNACI;VERGATO;667523;905687;44,283375;11,098439;569
73405;MULINELLO;VIA LABANTE FR 7/1;VERGATO;667148;905344;44,280375;11,093633;569
73406;MULINELLO;VIA LABANTE 7/1;VERGATO;667159;905332;44,280265;11,093767;569
73409;FERRIERA;VIA LABANTE FR 9;VERGATO;666816;904923;44,276664;11,089341;569
73410;FERRIERA;VIA LABANTE 9;VERGATO;666817;904910;44,276547;11,089349;569
73413;MATARUGLIO;VIA VAL D`ANEVA 173;CASTEL D`AIANO;666290;904687;44,274661;11,082679;569
73414;MATARUGLIO;VIA VAL D`ANEVA FR 173;CASTEL D`AIANO;666290;904674;44,274544;11,082675;569
73417;QUERCIOLO;VIA VAL D`ANEVA FR 148;CASTEL D`AIANO;665692;904445;44,27262;11,075114;569
73418;QUERCIOLO;VIA VAL D`ANEVA 148;CASTEL D`AIANO;665692;904438;44,272557;11,075112;569
73421;VALLE DI VIGO;VIA VAL D`ANEVA FR 140;CASTEL D`AIANO;665219;904333;44,27172;11,069155;569
73422;VALLE DI VIGO;VIA VAL D`ANEVA 140;CASTEL D`AIANO;665219;904325;44,271648;11,069153;569
73425;CA` DI MINGAIA;VIA VAL D`ANEVA BV RAZOLA;CASTEL D`AIANO;664662;903797;44,267023;11,062012;569
73426;CA` DI MINGAIA;VIA VAL D`ANEVA FR BV RAZOLA;CASTEL D`AIANO;664662;903788;44,266942;11,062009;569
73429;TORRAZZA;VIA VAL D`ANEVA FR 130;CASTEL D`AIANO;664624;903312;44,262668;11,061384;569
73430;TORRAZZA;VIA VAL D`ANEVA 130;CASTEL D`AIANO;664624;903304;44,262596;11,061381;569
73433;CASA GISTO;VIA VAL D`ANEVA 151;CASTEL D`AIANO;664345;903004;44,25996;11,057794;569
73434;CASA GISTO;VIA VAL D`ANEVA FR 151;CASTEL D`AIANO;664345;902995;44,259879;11,057791;569
